"","id_plot","ab","mass","q0","q1","q2","Body_length"
"1","ARG_1420",2.2,NA,NA,NA,NA,NA
"2","ARG_1620",2.15909090909091,NA,1,1,1,NA
"3","ARG_1790",7.25,NA,1,1,1,NA
"4","ARG_2000",3.75757575757576,1.07,1.66666666666667,1.63997129087086,1.61818181818182,NA
"5","ARG_2230",2,1.00476923076923,1,1,1,NA
"6","ARG_2400",13.2558139534884,NA,2.09302325581395,1.64099858920516,1.49830210634602,NA
"7","ARM_1520",4.80882352941176,NA,NA,NA,NA,NA
"8","ARM_1750",2.7032967032967,NA,NA,NA,NA,NA
"9","BOU_1240",14.4827586206897,3.65115517241379,4,3.2251066214212,2.83217121108297,18.4061882917352
"10","BOU_1440",12.1780821917808,4.78979452054794,2.36986301369863,1.7544724963661,1.58144612025891,18.3708138773079
"11","BOU_1620",7.80487804878049,3.72126829268293,1.19512195121951,1.12670924652997,1.09182209469154,29.2992195121951
"12","BOU_1830",2.75,1.08175,1.75,1.75,1.75,9.60416666666667
"13","BOU_2000",2.34375,1.1634375,1.34375,1.34375,1.34375,NA
"14","CAU_1220",2,1.31646153846154,1,1,1,18.5478571428571
"15","CAU_1400",2,1.005,1,1,1,5.12857142857143
"16","CAU_1630",2,1.03526666666667,1,1,1,7.77619047619048
"17","CAU_1800",2,1.004,1,1,1,5.12857142857143
"18","CAU_2225",3.48717948717949,NA,NA,NA,NA,NA
"19","CAU_2650",3.5,NA,NA,NA,NA,NA
"20","MOU_1810",8.625,1.5127,2.375,2.17154166902279,2.03128787878788,12.306019047619
"21","MOU_1940",14.504,2.432264,2.584,1.88102469649683,1.6300086831515,13.4830641269841
"22","MOU_2160",16.1544715447154,3.4469674796748,3.85365853658537,3.35860621429937,3.01342157356884,17.9022635178733
"23","MOU_2355",4.09523809523809,1.46245238095238,1,1,1,12.2996031746032
"24","MOU_2470",4.41176470588235,NA,NA,NA,NA,NA
"25","MOU_2720",5.57575757575758,NA,NA,NA,NA,NA
"26","MSB_1370",2.9,NA,1.9,1.9,1.9,NA
"27","MSB_1420",3.02564102564103,NA,NA,NA,NA,NA
"28","MSB_1890",4,NA,NA,NA,NA,NA
"29","MSB_2020",2,NA,NA,NA,NA,NA
"30","MSB_2260",2,NA,NA,NA,NA,NA
"31","PEC_1152",10.2894736842105,NA,2.18421052631579,1.81542024431205,1.61948291782087,16.4102647243108
"32","PEC_1375",8.7843137254902,NA,2.15686274509804,1.87468592000631,1.72464370211656,14.7743398248188
"33","RIS_1900",9.51851851851852,NA,1.64197530864198,1.58690253386915,1.53497942386831,NA
"34","RIS_2195",3.95238095238095,NA,NA,NA,NA,NA
"35","RIS_2340",5.88,3.16561,1.73,1.44519782809012,1.31962162162162,23.3678673469388
"36","RIS_2570",2.34782608695652,NA,NA,NA,NA,NA
"37","RIS_2770",2.91176470588235,NA,NA,NA,NA,NA
"38","RIS_2890",3,NA,1,1,1,NA
"39","TAN_1420",3.51470588235294,NA,NA,NA,NA,NA
"40","TAN_1700",2,NA,1,1,1,NA
"41","TAN_1890",17.4205607476636,NA,1.76635514018692,1.41544898781166,1.28122830440587,NA
"42","TAN_2100",5.23529411764706,1.22794117647059,1,1,1,NA
"43","VAL_1860",19.6666666666667,NA,NA,NA,NA,NA
"44","VAL_2450",8.66666666666667,NA,NA,NA,NA,NA
"45","VAL_2715",2,NA,1,1,1,15
"46","VCHA_1910",2,NA,NA,NA,NA,NA
"47","VCHA_2150",6.15333333333333,NA,NA,NA,NA,NA
"48","VCHA_2330",2.20754716981132,NA,NA,NA,NA,NA
"49","VCHA_2940",2,NA,NA,NA,NA,NA
"50","VER_1200",4.92592592592593,NA,NA,NA,NA,NA
"51","VER_1400F",2,1.28628,1,1,1,NA
"52","VER_1400P",4.17460317460317,NA,NA,NA,NA,NA
"53","VER_1800",4,NA,3,3,3,19.75
"54","VER_2000",5,NA,1,1,1,NA
"55","VTN_1130",6.6,NA,1.71111111111111,1.39389701614294,1.28832520325203,17.9254507936508
"56","VTN_1510",8.7027027027027,NA,1.27027027027027,1.2039906352982,1.16216216216216,15.344009009009
"57","VTN_1675",14.94,NA,NA,NA,NA,NA
"58","VTN_1860",2.71428571428571,NA,NA,NA,NA,NA
