"","id_plot","tot"
"1","ARG_1420",3
"2","ARG_2400",5
"3","ARM_1520",4
"4","ARM_1750",6
"5","CAU_2650",1
"6","MOU_2355",1
"7","MOU_2470",1
"8","MOU_2720",4
"9","MSB_1420",3
"10","MSB_1890",3
"11","MSB_2260",1
"12","PEC_1152",16
"13","PEC_1375",4
"14","RIS_1900",1
"15","RIS_2195",8
"16","RIS_2570",1
"17","RIS_2770",2
"18","TAN_1420",2
"19","VAL_1860",72
"20","VAL_2450",12
"21","VCHA_1910",2
"22","VCHA_2150",2
"23","VCHA_2330",1
"24","VCHA_2940",1
"25","VER_1200",4
"26","VER_1400P",2
"27","VER_2000",1
"28","VTN_1130",1
"29","VTN_1510",25
"30","VTN_1675",62
"31","VTN_1860",3
