"","Code_unique","Bloc","Milieu","Rang","Arbre","ab","masse_vgtal","Nb_invertebres_parMS"
"1","ANI-23-0499","1","AF","R01",5,196,"1.46",134.246575342466
"2","ANI-23-0500","1","AF","R01",9,202,"1.02",198.039215686275
"3","ANI-23-0501","1","AF","R01",17,280,"1.08",259.259259259259
"4","ANI-23-0502","1","AF","R02",4,44,"1.01",43.5643564356436
"5","ANI-23-0503","1","AF","R02",10,76,"1.05",72.3809523809524
"6","ANI-23-0504","1","AF","R02",18,162,"1.28",126.5625
"7","ANI-23-0505","1","AF","R03",1,154,"1.38",111.594202898551
"8","ANI-23-0506","1","AF","R03",8,100,"0.91",109.89010989011
"9","ANI-23-0507","1","AF","R03",21,258,"1.62",159.259259259259
"10","ANI-23-0508","1","AF","R04",2,220,"1.54",142.857142857143
"11","ANI-23-0509","1","AF","R04",9,292,"1.47",198.639455782313
"12","ANI-23-0510","1","AF","R04",20,140,"1.11",126.126126126126
"13","ANI-23-0511","1","AF","R05",3,154,"1.02",150.980392156863
"14","ANI-23-0512","1","AF","R05",11,206,"1.47",140.136054421769
"15","ANI-23-0513","1","AF","R05",21,152,"1.15",132.173913043478
"16","ANI-23-0514","2","AF","R01",3,118,"0.86",137.209302325581
"17","ANI-23-0515","2","AF","R01",8,258,"1",258
"18","ANI-23-0516","2","AF","R01",18,386,"1.12",344.642857142857
"19","ANI-23-0517","2","AF","R02",3,210,"0.77",272.727272727273
"20","ANI-23-0518","2","AF","R02",9,198,"0.95",208.421052631579
"21","ANI-23-0519","2","AF","R02",21,368,"1.47",250.340136054422
"22","ANI-23-0520","2","AF","R03",3,150,"1.52",98.6842105263158
"23","ANI-23-0521","2","AF","R03",13,106,"0.94",112.765957446809
"24","ANI-23-0522","2","AF","R03",21,110,"0.89",123.595505617978
"25","ANI-23-0523","2","AF","R04",2,190,"1.02",186.274509803922
"26","ANI-23-0524","2","AF","R04",10,402,"1.37",293.430656934307
"27","ANI-23-0525","2","AF","R04",20,126,"1.37",91.970802919708
"28","ANI-23-0526","2","AF","R05",1,262,"1.59",164.779874213836
"29","ANI-23-0527","2","AF","R05",13,116,"1.3",89.2307692307692
"30","ANI-23-0528","2","AF","R05",20,134,"0.94",142.553191489362
"31","ANI-23-0529","3","AF","R01",2,198,"1.39",142.446043165468
"32","ANI-23-0530","3","AF","R01",8,184,"1.15",160
"33","ANI-23-0531","3","AF","R01",15,40,"0.72",55.5555555555556
"34","ANI-23-0532","3","AF","R02",2,212,"1.52",139.473684210526
"35","ANI-23-0533","3","AF","R02",9,204,"0.92",221.739130434783
"36","ANI-23-0534","3","AF","R02",21,146,"1.36",107.352941176471
"37","ANI-23-0535","3","AF","R03",2,210,"1.03",203.883495145631
"38","ANI-23-0536","3","AF","R03",10,70,"0.95",73.6842105263158
"39","ANI-23-0537","3","AF","R03",21,54,"1.2",45
"40","ANI-23-0538","3","AF","R04",2,114,"1.34",85.0746268656716
"41","ANI-23-0539","3","AF","R04",10,338,"1.13",299.115044247788
"42","ANI-23-0540","3","AF","R04",20,106,"1.16",91.3793103448276
"43","ANI-23-0541","3","AF","R05",3,140,"0.83",168.674698795181
"44","ANI-23-0542","3","AF","R05",10,208,"1.33",156.390977443609
"45","ANI-23-0543","3","AF","R05",20,144,"1.43",100.699300699301
"46","ANI-23-0544","1","F","R02",1,116,"1.66",69.8795180722892
"47","ANI-23-0545","1","F","R02",7,188,"1.26",149.206349206349
"48","ANI-23-0546","1","F","R02",10,64,"0.84",76.1904761904762
"49","ANI-23-0547","1","F","R04",2,364,"2.22",163.963963963964
"50","ANI-23-0548","1","F","R04",9,142,"0.83",171.084337349398
"51","ANI-23-0549","1","F","R04",15,174,"1.29",134.883720930233
"52","ANI-23-0550","1","F","R05",7,312,"1.42",219.718309859155
"53","ANI-23-0551","1","F","R05",12,50,"0.63",79.3650793650794
"54","ANI-23-0552","1","F","R06",4,128,"1.01",126.732673267327
"55","ANI-23-0553","1","F","R09",2,160,"1.28",125
"56","ANI-23-0554","1","F","R10",7,80,"1.16",68.9655172413793
"57","ANI-23-0555","1","F","R10",14,180,"1.09",165.137614678899
"58","ANI-23-0556","1","F","R11",15,268,"1.1",243.636363636364
"59","ANI-23-0557","1","F","R12",1,58,"0.81",71.6049382716049
"60","ANI-23-0558","1","F","R12",12,96,"0.83",115.66265060241
"61","ANI-23-0559","2","F","R02",3,106,"0.74",143.243243243243
"62","ANI-23-0560","2","F","R02",15,132,"0.86",153.488372093023
"63","ANI-23-0561","2","F","R02",20,48,"0.68",70.5882352941176
"64","ANI-23-0562","2","F","R03",3,150,"1.24",120.967741935484
"65","ANI-23-0563","2","F","R03",13,46,"1.02",45.0980392156863
"66","ANI-23-0564","2","F","R03",22,180,"1.42",126.760563380282
"67","ANI-23-0565","2","F","R04",3,374,"1.72",217.441860465116
"68","ANI-23-0566","2","F","R04",10,380,"1.42",267.605633802817
"69","ANI-23-0567","2","F","R04",19,70,"1.16",60.3448275862069
"70","ANI-23-0568","2","F","R05",2,122,"0.81",150.617283950617
"71","ANI-23-0569","2","F","R05",14,112,"1.14",98.2456140350877
"72","ANI-23-0570","2","F","R05",19,168,"0.9",186.666666666667
"73","ANI-23-0571","2","F","R06",5,206,"1.04",198.076923076923
"74","ANI-23-0572","2","F","R06",9,104,"1.27",81.8897637795276
"75","ANI-23-0573","2","F","R06",18,96,"1.35",71.1111111111111
"76","ANI-23-0574","3","F","R02",2,304,"1.3",233.846153846154
"77","ANI-23-0575","3","F","R02",10,58,"1.25",46.4
"78","ANI-23-0576","3","F","R02",21,100,"1.13",88.495575221239
"79","ANI-23-0577","3","F","R03",1,112,"1.25",89.6
"80","ANI-23-0578","3","F","R03",9,56,"1.04",53.8461538461538
"81","ANI-23-0579","3","F","R03",21,188,"1.05",179.047619047619
"82","ANI-23-0580","3","F","R04",3,104,"0.89",116.85393258427
"83","ANI-23-0581","3","F","R04",11,22,"0.73",30.1369863013699
"84","ANI-23-0582","3","F","R04",20,2138,"1.96",1090.81632653061
"85","ANI-23-0583","3","F","R05",2,94,"0.73",128.767123287671
"86","ANI-23-0584","3","F","R05",10,232,"1.46",158.904109589041
"87","ANI-23-0585","3","F","R05",20,86,"1.05",81.9047619047619
"88","ANI-23-0586","3","F","R06",2,372,"1.27",292.913385826772
"89","ANI-23-0587","3","F","R06",9,176,"1.16",151.724137931035
"90","ANI-23-0588","3","F","R06",21,160,"1.37",116.788321167883
